#Gene	TotalClinvarVariants	PLpMissense	BenignMissense	PLpNullVariants	PLpNonNullVariants
TTC22:55001	14	0	14	0	0
MYOCD:93649|ARHGAP44-AS1:100128006	16	0	7	0	0
TAS2R8:50836	7	0	6	0	0
AARSD1:80755|PTGES3L-AARSD1:100885850	16	0	16	0	0
PIMREG:54478|PITPNM3:83394	2	0	0	0	0
GSTO1:9446	6	0	4	0	0
UBQLN2:29978	127	5	68	0	5
PTPN9:5780	11	0	10	0	0
KCNV2:169522	683	12	391	46	13
KRT39:390792	21	0	21	0	0
MYL10:93408	5	0	4	0	0
MAP4K1:11184	10	0	10	0	0
RELT:84957	19	2	14	2	2
SLC35E1:79939	17	0	17	0	0
MOS:4342	7	0	6	0	0
DMAC2:55101|LOC110121465:110121465	1	0	1	0	0
TCL1B:9623	5	0	5	0	0
BAIAP2L2:80115	20	0	19	0	0
TANGO6:79613	27	0	26	0	0
OR51V1:283111	13	0	13	0	0
PRPF38B:55119	13	0	13	0	0
SPATC1:375686	5	0	4	0	0
KLHL11:55175	6	0	6	0	0
SPRR2A:6700	2	0	2	0	0
AVPR1A:552	10	0	8	0	0
MRPS35:60488	9	0	8	0	0
XPO1:7514	18	3	4	0	3
EIF2S2:8894	5	0	2	0	0
RSAD2:91543	11	0	8	0	0
RPL35A:6165|IQCG:84223	85	2	24	5	3
ADAMTSL4:54507|ADAMTSL4-AS2:100289061	367	0	181	34	1
GULP1:51454	4	0	4	0	0
LEKR1:389170	16	0	16	0	0
SOX2:6657|SOX2-OT:347689	155	13	40	60	15
DGKD:8527	46	0	24	0	0
MYRIP:25924	8	0	6	0	0
HMBS:3145	428	35	118	79	47
HSD17B11:51170	6	0	6	0	0
KCNQ3:3786|LOC114827840:114827840	1	0	0	0	0
PCDHGB2:56103|PCDHGB1:56104|PCDHGA5:56110|PCDHGA4:56111|PCDHGA3:56112|PCDHGA2:56113|PCDHGA1:56114|PCDHG@:56115	26	0	26	0	0
MANEA:79694	12	0	12	0	0
KYAT1:883	9	0	9	0	0
SNX32:254122	15	0	15	0	0
GRB14:2888	21	0	19	0	0
WT1:7490|LOC107982234:107982234	565	4	322	13	5
PTPRG:5793	38	0	31	0	0
BBX:56987	26	0	23	0	0
CDC20B:166979|GPX8:493869	5	0	4	0	0
PCDHA9:9752|PCDHA@:56117|PCDHA8:56140|PCDHA7:56141|PCDHA6:56142|PCDHA5:56143|PCDHA4:56144|PCDHA3:56145|PCDHA2:56146|PCDHA1:56147	30	0	30	0	0
GSTA1:2938	7	0	4	0	0
GALNT11:63917	13	0	13	0	0
OR1F1:4992	14	0	14	0	0
RAPGEF3:10411|RPAP3-DT:105369748	8	0	5	0	0
SMIM10:644538	1	0	1	0	0
DYNLL2:140735	1	0	1	0	0
GFER:2671	127	4	61	6	3
ZNF77:58492	34	0	30	0	0
TP53TG5:27296|SYS1:90196|SYS1-DBNDD2:767557	7	0	7	0	0
CNPPD1:27013	14	0	13	0	0
HCFC2:29915	10	0	10	0	0
NLRP6:171389	68	0	40	0	0
GASK1A:729085	1	0	1	0	0
CPNE3:8895	15	0	15	0	0
BAD:572|GPR137:56834	4	0	3	0	0
ADAMTSL4:54507|ADAMTSL4-AS1:574406	1	0	0	0	0
AURKAIP1:54998	6	0	6	0	0
ADAMTS9:56999|ADAMTS9-AS2:100507098	16	0	10	0	0
SPON2:10417	14	0	10	0	0
FGG:2266	99	7	50	6	12
ODF2:4957	11	0	10	0	0
GLIS3-AS1:84850|GLIS3:169792	18	0	13	0	0
UTF1:8433	14	0	14	0	0
POSTN:10631	24	0	18	0	0
ATG2B:55102	147	0	57	0	0
GJC1:10052	9	0	6	0	0
C3orf84:646498	2	0	2	0	0
MASP1:5648	217	4	89	14	4
GTF2H5:404672	47	2	25	5	2
ZNF624:57547	18	0	18	0	0
NLRP8:126205	38	0	29	0	0
RPL7L1:285855	8	0	8	0	0
UBE2H:7328	2	0	2	0	0
TTC21B:79809	980	4	423	65	7
TEK:7010	281	12	80	18	15
ZNF385B:151126	9	0	4	0	0
MMS19:64210	40	0	35	0	0
KCND3:3752	419	15	172	1	15
REXO2:25996	4	0	4	0	0
CMAS:55907	7	0	4	0	0
SEPHS2:22928	4	0	4	0	0
MAN1A2:10905	9	0	7	0	0
AQP5:362|AQP5-AS1:101927318	13	2	4	0	2
ANKRD33:341405	11	0	11	0	0
RHOT2:89941	30	0	23	0	0
LHX4:89884|ACBD6:84320	9	0	0	0	0
HEY2:23493	14	0	10	0	0
SLC5A4:6527|SLC5A4-AS1:110806273	18	0	17	0	0
PACSIN2:11252	12	0	12	0	0
SSUH2:51066	18	0	17	0	0
SUPT16H:11198	38	5	25	0	5
SPINT3:10816	4	0	4	0	0
SLC35E4:339665	12	0	12	0	0
ALAS2:212|PAGE2B:389860|LOC108663984:108663984	6	0	0	0	0
LPAR3:23566	14	0	12	0	0
LIME1:54923|LOC114803474:114803474	2	0	2	0	0
PTPRK:5796|PTPRK-AS1:101928140	4	0	3	0	0
FCRLB:127943	11	0	10	0	0
RNF121:55298	9	0	8	0	0
KIF2A:3796|DIMT1:27292	1	0	1	0	0
TESPA1:9840	11	0	10	0	0
LCE1F:353137	6	0	6	0	0
ULBP2:80328	14	0	13	0	0
AP1G2:8906|AP1G2-AS1:102724814	22	1	19	0	1
CCL4L2:9560	1	0	1	0	0
STAMBPL1:57559	8	0	7	0	0
PGLYRP1:8993	11	0	11	0	0
CCDC82:79780	22	0	18	3	0
ZNF681:148213	16	0	16	0	0
DAAM1:23002	28	0	20	0	0
BSND:7809	280	4	72	18	6
SYMPK:8189	17	0	16	0	0
GSPT1:2935|RSL1D1-DT:105371084	11	0	11	0	0
SMN2:6607	6	0	1	0	0
KCNJ1:3758	150	16	68	7	16
KLC2:64837	31	0	20	0	2
SLC38A2:54407	11	0	9	0	0
ZNF219:51222|TMEM253:643382	10	0	10	0	0
EAPP:55837	8	0	8	0	0
FOXP3:50943	262	17	121	19	21
KHNYN:23351	18	0	18	0	0
RNF141:50862	2	0	2	0	0
MXRA7:439921	7	0	5	0	0
KDM4C:23081	36	0	30	0	0
MLXIPL:51085	65	0	35	0	0
SIRT7:51547	5	0	5	0	0
C4BPA:722	40	0	27	0	0
B4GALNT1:2583	266	4	119	15	4
RBM10:8241|NDUFB11:54539	2	0	1	0	0
CSF1:1435	12	0	9	0	0
CACNB2:783	752	1	318	0	1
SEPSECS:51091|SEPSECS-AS1:285540	1	0	0	0	0
SLC29A1:2030|POLR1C:9533	14	1	7	0	1
SYNPO2L:79933|SYNPO2L-AS1:105378360	2	0	2	0	0
SDR39U1:56948	1	0	1	0	0
TRIM46:80128	6	0	6	0	0
UGT2B11:10720|LOC105377267:105377267	19	0	19	0	0
SIRT2:22933	18	0	16	0	0
PPA1:5464	3	0	2	0	0
RNF19A:25897	9	0	8	0	0
FAM187B:148109	17	0	17	0	0
GPHN:10243|RDH12:145226	301	26	89	25	31
PSMD3:5709	13	0	12	0	0
MATN3:4148	119	5	70	1	5
PTCHD4:442213	21	0	21	0	0
FBN1:2200|LOC113939944:113939944	96	13	31	20	17
STK16:8576	7	0	7	0	0
PDZRN4:29951	32	0	32	0	0
IL18RAP:8807	16	0	13	0	0
GDF6:392255	357	1	164	2	2
ZIC2:7546	223	5	77	31	6
CEP350:9857	69	0	68	0	0
CCL13:6357	1	0	1	0	0
DSG2:1829|DSG2-AS1:100652770	549	1	298	10	1
CCDC88C:440193|CCDC88C-DT:105370625	1	0	0	0	0
CAPZA1:829	11	0	10	0	0
SHTN1:57698|ENO4:387712	5	0	4	0	0
SYNJ1:8867	1230	2	593	35	3
TLCD2:727910	10	0	10	0	0
OR4B1:119765	10	0	10	0	0
SLCO1C1:53919	14	0	12	0	0
IPO4:79711	32	0	31	0	0
GMNC:647309	9	0	9	0	0
TNNI3:7137|TNNT1:7138	3	0	0	0	0
TNK2:10188|MIR6829:102465977	1	0	0	0	0
CRB1:23418	1549	133	545	223	139
ZFYVE28:57732	32	0	29	0	0
CLCNKA:1187|LOC106501712:106501712	133	1	44	1	1
PWWP3A:84939	3	0	0	0	0
HUS1:3364	8	0	7	0	0
PCNX3:399909	16	0	15	1	0
CFAP410:755	353	6	154	20	7
IFI6:2537	1	0	1	0	0
TCEA1:6917	1	0	1	0	0
ABCA1:19|LOC121331340:121331340	10	0	5	0	0
MYBPC3:4607	3158	24	1173	549	106
KIAA0319:9856	29	0	27	0	0
WDR19:57728|LOC112939934:112939934	1	0	0	0	0
TNN:63923	36	0	32	0	0
ACVRL1:94	842	132	204	205	146
MAGEB16:139604	6	0	6	0	0
VN1R4:317703	11	0	11	0	0
KRT12:3859	42	9	25	0	9
ARAF:369	14	3	9	0	3
FRK:2444	10	0	10	0	0
CYP11B2:1585|LOC110673971:110673971	1	0	0	0	0
OR7D2:162998	14	0	14	0	0
NMBR:4829	20	0	17	0	0
KIF4B:285643	29	0	28	0	0
CEND1:51286	11	0	11	0	0
POLR1C:9533	174	10	79	12	12
RNF207:388591	27	0	25	1	0
ITGA1:3672|PELO:53918	8	0	8	0	0
FYB1:2533	51	0	6	2	0
SLC40A1:30061	200	32	65	1	35
SETMAR:6419|SUMF1:285362	15	0	15	0	0
CALCA:796	5	0	3	0	0
COQ6:51004	59	0	27	4	0
ACTR8:93973	15	0	13	0	0
C2orf69:205327	12	0	6	6	0
SLCO6A1:133482	19	0	15	0	0
CREB5:9586	6	0	5	0	0
CDA:978	5	0	3	0	0
PGD:5226	11	0	9	0	0
HEBP2:23593	8	0	7	0	0
MEIS3:56917	23	0	22	0	0
LRRC4B:94030	7	0	7	0	0
MT-TL1:4567	37	0	0	0	13
TUBAL3:79861	17	0	14	0	0
ARL17A:51326|LRRC37A2:474170	32	0	30	0	0
DENND1B:163486	16	0	13	0	0
HES4:57801	13	0	13	0	0
ZNF862:643641	36	1	34	0	1
CAPN5:726	518	4	249	0	4
OR12D3:81797	9	0	9	0	0
ARID2:196528	238	2	105	72	6
GRAP2:9402	10	0	7	0	0
LAMB3:3914|MIR4260:100422894	3	0	0	2	0
SYCP3:50511|CHPT1:56994	7	0	1	0	0
KDELR2:11014	14	3	5	2	3
TAFA5:25817	1	0	0	0	0
FCHO2:115548	11	0	9	0	0
SLC4A9:83697	33	0	28	0	0
AP5Z1:9907	944	0	329	27	7
CDC20:991	18	0	17	0	0
NUDT7:283927|LOC112486208:112486208	1	0	0	0	0
APEX2:27301	11	0	6	0	0
ODF2L:57489	19	0	18	0	0
C1orf43:25912	1	0	1	0	0
JMY:133746	16	0	13	0	0
SLC24A4:123041	76	2	21	3	2
FCGRT:2217	11	0	8	0	0
CYP2R1:120227	118	1	60	9	1
HM13:81502|HM13-AS1:100874042	3	0	3	0	0
KIT:3815	2361	35	1076	50	45
IQCF1:132141	7	0	7	0	0
MIPEP:4285|PCOTH:542767	15	0	6	0	0
HOXB2:3212	11	0	11	0	0
IRF6:3664	276	33	69	42	37
ARMC2:84071|ARMC2-AS1:101929716	1	0	0	1	0
SF3A3:10946	6	0	5	0	0
IFNLR1:163702	15	0	12	0	0
ASB13:79754	4	0	4	0	0
ASB9:140462	5	0	5	0	0
RGS3:5998	42	0	41	0	0
TRIM43:129868	6	0	5	0	0
MAST1:22983|LOC112543452:112543452	43	0	26	0	0
TMEM221:100130519	9	0	9	0	0
TREX1:11277|ATRIP:84126|ATRIP-TREX1:111822955	387	5	210	38	6
OR5P3:120066	8	0	8	0	0
STK38L:23012	6	0	4	0	0
LGALS9C:654346	6	0	6	0	0
ZNF345:25850	13	0	12	0	0
HGH1:51236	1	0	1	0	0
GRAMD4:23151	24	0	24	0	0
PLXNA2:5362	371	1	177	0	1
TOP2A:7153	41	0	28	0	0
EIF4A1:1973|SENP3-EIF4A1:100533955	4	0	1	0	0
SPRY3:10251	2	0	1	0	0
SPRR3:6707	11	0	8	0	0
OPRM1:4988	465	0	69	0	0
BRIP1:83990	4657	5	2323	446	41
SOX8:30812	26	0	19	0	0
STARD8:9754	22	0	19	0	0
ELF4:2000	20	3	12	1	3
FLRT2:23768	18	0	17	0	0
PAFAH1B1:5048	420	34	82	92	53
PKNOX2:63876	10	0	9	0	0
SEC22A:26984	5	0	4	0	0
EGLN1:54583	762	3	322	1	4
ATL2:64225	17	0	14	0	0
AGMO:392636	48	0	34	0	1
SEPTIN7:989	1	0	0	0	0
PFKL:5211	28	0	23	0	0
PEX7:5191	514	7	137	60	11
ASB6:140459	17	0	17	0	0
OPTN:10133	292	1	91	22	5
SPDYE3:441272	31	0	31	0	0
PARP12:64761	18	0	16	0	0
MAP1B:4131	171	2	105	13	2
TSPEAR:54084|KRTAP10-4:386672	14	0	13	0	0
SPATA31D4:389761	11	0	11	0	0
HHATL:57467	19	0	19	0	0
BORCS5:118426	8	0	7	1	0
SPINK13:153218|FBXO38-DT:102546294	6	0	6	0	0
SYNE1:23345	5268	3	2549	226	19
NKX2-1:7080|SFTA3:253970|NKX2-1-AS1:100506237	6	0	3	1	0
VEZF1:7716	11	0	8	0	0
UIMC1:51720	23	0	19	1	0
RPS19:6223|MIR6797:102465478	4	0	0	0	0
F11R:50848	8	0	7	0	0
UTP20:27340	72	0	57	0	0
ANAPC15:25906|LRTOMT:220074|TOMT:120356740	71	0	41	3	0
PPP4R3A:55671	1	0	1	0	0
